자치구,연도,세대수,총인구수,한국인,외국인,세대당인구,고령자(65),외국인비율,고령자비율,소계,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,증가분,오차율
종로구,2018,73735,163026,153065,9961,2.08,26742,6.110068332658594,16.40351845717861,1471,8.0,7.0,599.0,132,195,148,281,101,56.323060573857596,67.11451514661962
중구,2018,61502,135633,125725,9908,2.04,22005,7.305006893602589,16.223927805180153,1544,25.0,165.0,114.0,80,245,270,317,328,145.4689984101749,84.02137973255594
용산구,2018,108974,245090,228999,16091,2.1,37640,6.5653433432616595,15.357623730058345,2063,1279.0,152.0,201.0,107,102,89,60,73,12.058663769690385,290.8058266427179
성동구,2018,137209,316463,308221,8242,2.25,42767,2.6044118901735747,13.514060095492997,2679,665.0,109.0,118.0,101,258,201,933,294,114.14868105515588,703.2212165156266
광진구,2018,162606,371063,355559,15504,2.19,45619,4.178266224333873,12.29413873115886,1581,470.0,42.0,83.0,87,64,21,468,346,111.93029490616621,550.5200261523178
동대문구,2018,161820,364338,348052,16286,2.15,57165,4.470025086595414,15.690100950216557,2003,0.0,0.0,0.0,1326,111,233,136,197,39.38761308281141,109.3376111900111
중랑구,2018,180511,408147,403209,4938,2.23,61830,1.209858212849782,15.14895368580438,1068,0.0,0.0,0.0,770,102,121,66,9,22.477064220183486,1169.2985654031972
성북구,2018,186601,447687,435868,11819,2.34,67782,2.6400141170058546,15.14048877899068,3003,779.0,84.0,304.0,241,279,388,285,643,78.00829875518673,652.9173918295774
강북구,2018,143395,322915,319164,3751,2.23,58196,1.1616059953857827,18.022080113961877,1265,243.0,88.0,141.0,74,145,254,1,319,83.06801736613603,729.1824922333399
도봉구,2018,138087,341649,339413,2236,2.46,55964,0.6544728654262122,16.380554311588792,858,197.0,66.0,8.0,185,59,155,117,71,66.60194174757281,1189.6194233714584
노원구,2018,217655,548160,543752,4408,2.5,77096,0.8041447752481027,14.06450671336836,1906,481.0,117.0,203.0,80,461,298,110,156,42.026825633383005,730.6721663128469
은평구,2018,205001,487666,483197,4469,2.36,77420,0.9164059007599463,15.875619788953916,2962,1365.0,83.0,99.0,343,180,296,229,367,43.091787439613526,497.8811438328421
서대문구,2018,138549,323080,310313,12767,2.24,50456,3.9516528414015104,15.61718459824192,2121,565.0,233.0,214.0,114,109,277,415,194,71.7408906882591,126.34686115420209
마포구,2018,172505,386359,375077,11282,2.17,50833,2.9200820998087273,13.156934353800482,1935,585.0,108.0,69.0,70,177,359,372,195,91.77403369672945,240.1503933290369
양천구,2018,176498,468145,464185,3960,2.63,58045,0.8458917643037948,12.398936227023679,2775,772.0,161.0,185.0,169,172,349,137,830,90.19876627827279,366.5629166921999
강서구,2018,258503,603611,596949,6662,2.31,79660,1.103690953279513,13.197241269625637,1617,219.0,155.0,118.0,230,187,190,264,254,77.88778877887789,1177.84080453959
구로구,2018,172457,438486,404497,33989,2.35,61801,7.751444743959898,14.094178605474292,3227,852.0,219.0,349.0,187,268,326,540,486,72.10666666666667,903.1623583824667
금천구,2018,107971,254021,233917,20104,2.17,35739,7.914306297510835,14.069309230339226,1634,27.0,17.0,242.0,101,382,136,199,530,112.48374512353708,163.66899090796733
영등포구,2018,171085,403600,367778,35822,2.15,55673,8.87561942517344,13.79410307234886,2495,132.0,121.0,206.0,217,366,289,371,793,139.44337811900192,270.6713142746621
동작구,2018,177176,409385,396203,13182,2.24,59479,3.2199518790380695,14.528866470437363,1780,238.0,93.0,29.0,503,130,254,278,255,79.25478348439073,460.8298411984888
관악구,2018,262222,520040,501957,18083,1.91,72249,3.47723252057534,13.892969771556036,3985,430.0,56.0,419.0,487,609,619,694,671,99.1504247876062,1428.537426064856
서초구,2018,172918,438163,433951,4212,2.51,54751,0.9612860967265607,12.49557812960017,2835,1172.0,91.0,228.0,134,215,352,247,396,54.07608695652174,512.0836847813994
강남구,2018,228775,547453,542364,5089,2.37,67085,0.9295775162434036,12.254019979797352,5221,1944.0,195.0,316.0,430,546,765,577,448,52.17137860682017,2586.344483111443
송파구,2018,270866,673507,666635,6872,2.46,81364,1.0203308948533572,12.080646526316727,1586,600.0,99.0,88.0,21,166,100,116,396,62.83367556468173,1408.2124143842539
강동구,2018,177247,431920,427573,4347,2.41,58770,1.0064363771068716,13.606686423411743,1879,303.0,387.0,134.0,59,144,194,273,385,82.96007789678676,426.1087588454143
