,연도,월,경기수,타수,피안타,자책점,승,패,세이브,홀드,이닝,탈삼진,볼넷,방어율,피홈런,사구,실점,피안타율
0,2020,05,23,789,210,111,11,12,3,11,208 1/3,158,91,6.07,25,8,118,0.271
1,2020,06,23,779,205,102,12,11,4,9,205 2/3,158,56,5.61,26,9,105,0.254
2,2020,07,20,698,198,102,9,11,5,15,176 2/3,136,68,7.56,25,6,119,0.311
3,2019,03,8,330,87,56,3,6,0,3,81 2/3,79,46,10.82,16,4,61,0.297
4,2019,04,22,876,250,124,10,13,4,12,220 2/3,202,104,5.92,23,9,141,0.293
5,2019,05,27,1079,326,178,11,19,1,3,266 1/3,218,130,8.48,29,22,187,0.337
6,2019,06,24,839,221,81,10,12,4,12,222,183,85,3.46,12,6,94,0.273
7,2019,07,18,607,177,93,4,14,2,4,154,106,63,7.92,17,9,100,0.306
8,2019,08,25,852,242,112,9,15,4,4,218,162,72,6.06,16,14,129,0.293
9,2019,09,19,628,161,68,4,15,1,9,165,132,61,3.12,14,9,78,0.238
10,2019,10,1,35,8,1,0,1,0,0,9,9,3,0.64,0,0,3,0.203
11,2018,03,7,231,62,38,0,7,0,1,58,52,32,10.35,7,5,43,0.284
12,2018,04,22,756,208,119,12,10,6,7,198,196,107,7.52,24,11,127,0.3
13,2018,05,24,829,236,108,11,13,4,12,211,198,84,4.68,17,12,127,0.305
14,2018,06,25,907,245,141,12,11,2,7,231 2/3,213,107,9.93,28,11,157,0.276
15,2018,07,21,748,226,113,8,13,2,7,186,154,64,4.82,23,11,118,0.269
16,2018,08,11,385,112,59,8,3,6,13,97,79,36,5.33,19,6,60,0.268
17,2018,09,22,781,219,137,10,12,7,10,193,182,79,7.83,35,13,153,0.297
18,2018,10,12,424,102,56,7,5,2,7,109,90,39,5.55,13,4,61,0.255
19,2017,03,1,32,11,5,0,1,0,0,8,9,4,11.81,1,2,6,0.424
20,2017,04,25,875,231,99,14,12,6,11,228 1/3,209,66,3.77,27,17,103,0.256
21,2017,05,24,823,226,111,12,12,3,11,213 1/3,166,108,6.19,22,10,122,0.3
22,2017,06,25,910,288,171,10,14,3,8,224,177,94,7.02,29,15,185,0.302
23,2017,07,22,743,187,75,12,9,8,6,199,164,78,5.12,27,18,89,0.284
24,2017,08,27,951,260,119,19,8,13,19,244,197,83,8.27,29,11,123,0.277
25,2017,09,19,464,114,52,9,5,4,5,123,124,37,3,17,3,52,0.224
26,2016,04,25,822,240,110,12,14,5,18,209 2/3,181,107,5.63,22,9,126,0.281
27,2016,05,24,822,244,144,11,13,3,12,204,167,86,7.99,36,11,154,0.304
28,2016,06,25,856,238,137,12,13,3,5,219 1/3,201,90,6.62,24,14,142,0.301
29,2016,07,20,701,212,120,9,11,4,6,177 2/3,123,93,5.45,27,12,135,0.291
30,2016,08,23,813,250,125,9,14,4,5,202,154,81,7.87,30,10,133,0.342
31,2016,09,21,725,220,112,11,10,6,9,184,133,88,6.05,16,13,128,0.298
32,2016,10,6,211,65,35,2,4,2,3,54 1/3,37,28,7.96,3,6,38,0.27
33,2015,03,3,97,28,14,3,0,1,5,25 2/3,19,17,4.54,2,1,14,0.274
34,2015,04,22,878,250,124,11,17,4,6,225,191,85,5.92,30,10,133,0.287
35,2015,05,27,962,277,143,14,13,4,11,247 2/3,211,109,12.26,33,21,155,0.336
36,2015,06,21,763,243,121,6,15,1,4,182,136,58,6.74,32,5,144,0.338
37,2015,07,22,764,211,89,11,11,2,10,202 2/3,167,72,4.58,15,16,93,0.286
38,2015,08,23,806,256,137,9,14,3,3,200 2/3,136,70,8.24,30,19,148,0.352
39,2015,09,23,809,215,109,11,11,4,8,212,166,92,4.4,28,15,127,0.285
40,2015,10,3,102,32,18,1,2,0,0,25,15,7,5.33,4,2,18,0.301
