,연도,팀명,득점,루타,안타,타율,타점,희생플라이
0,2015,KIA,13.75,52.25,28.5,0.21150000000000002,21.75,1.5
1,2015,KT,24.666666666666668,87.0,56.333333333333336,0.25566666666666665,35.333333333333336,3.6666666666666665
2,2015,LG,24.5,84.5,57.0,0.24,28.0,1.0
3,2015,NC,19.666666666666668,66.33333333333333,49.0,0.261,22.666666666666668,2.6666666666666665
4,2015,SK,24.5,84.75,54.5,0.24925000000000003,38.0,1.25
5,2015,두산,38.0,124.5,79.5,0.239,50.0,3.5
6,2015,롯데,26.333333333333332,96.66666666666667,50.666666666666664,0.235,33.333333333333336,1.0
7,2015,삼성,15.0,48.75,39.75,0.31675,20.5,1.5
8,2015,키움,18.333333333333332,62.0,41.333333333333336,0.256,23.0,3.0
9,2015,한화,11.25,38.25,24.0,0.19825,15.0,0.5
10,2016,KIA,12.25,46.5,29.75,0.21275,17.75,2.25
11,2016,KT,15.666666666666666,58.666666666666664,40.333333333333336,0.22833333333333336,19.333333333333332,2.0
12,2016,LG,12.0,39.0,28.25,0.21475,15.75,2.0
13,2016,NC,17.666666666666668,44.666666666666664,35.666666666666664,0.2813333333333334,12.333333333333334,1.6666666666666667
14,2016,SK,22.333333333333332,77.66666666666667,52.666666666666664,0.24299999999999997,26.0,2.3333333333333335
15,2016,두산,23.25,63.25,36.75,0.22925,23.5,2.75
16,2016,롯데,21.0,67.25,42.5,0.2745,23.75,1.0
17,2016,삼성,18.666666666666668,72.33333333333333,51.666666666666664,0.18566666666666665,25.333333333333332,1.3333333333333333
18,2016,키움,14.25,49.25,30.5,0.2205,20.5,0.75
19,2016,한화,16.333333333333332,46.333333333333336,34.333333333333336,0.20466666666666666,19.0,2.0
20,2017,KIA,16.0,43.0,33.333333333333336,0.209,16.0,0.6666666666666666
21,2017,KT,20.333333333333332,73.0,46.0,0.2233333333333333,30.0,2.3333333333333335
22,2017,LG,20.666666666666668,70.33333333333333,45.0,0.25933333333333336,30.333333333333332,1.0
23,2017,NC,8.2,31.2,23.0,0.2206,7.6,0.4
24,2017,SK,17.333333333333332,69.66666666666667,42.0,0.23633333333333337,24.666666666666668,1.6666666666666667
25,2017,두산,29.333333333333332,78.0,51.333333333333336,0.298,31.0,2.3333333333333335
26,2017,롯데,21.0,79.0,48.0,0.15633333333333332,25.333333333333332,1.3333333333333333
27,2017,삼성,10.2,31.2,22.2,0.2246,9.4,0.8
28,2017,키움,16.333333333333332,54.666666666666664,35.333333333333336,0.21066666666666667,18.0,0.6666666666666666
29,2017,한화,7.8,28.4,22.4,0.2166,6.0,0.0
30,2018,KIA,17.5,42.0,28.75,0.23225,15.0,0.75
31,2018,KT,20.0,69.66666666666667,43.0,0.24133333333333337,24.333333333333332,0.6666666666666666
32,2018,LG,32.0,124.0,75.5,0.2595,37.5,0.5
33,2018,NC,7.6,20.0,13.8,0.1746,6.0,0.6
34,2018,SK,25.666666666666668,84.0,56.333333333333336,0.2813333333333333,21.0,2.0
35,2018,두산,41.0,110.33333333333333,70.0,0.3416666666666666,33.333333333333336,2.3333333333333335
36,2018,롯데,10.25,28.75,20.0,0.1815,9.0,0.0
37,2018,삼성,19.25,68.25,44.25,0.19475000000000003,22.5,1.75
38,2018,키움,12.5,35.75,25.0,0.2985,11.75,0.75
39,2018,한화,29.0,91.5,67.5,0.2685,28.0,1.5
40,2019,KIA,8.75,34.0,23.75,0.20875,13.5,1.0
41,2019,KT,8.0,36.0,28.5,0.17925000000000002,12.25,1.5
42,2019,LG,15.666666666666666,66.33333333333333,41.666666666666664,0.16966666666666666,19.0,2.0
43,2019,NC,20.2,72.2,45.0,0.24619999999999997,22.2,1.6
44,2019,SK,18.0,96.0,65.5,0.1975,40.5,4.5
45,2019,두산,21.333333333333332,66.0,47.666666666666664,0.25333333333333335,23.666666666666668,2.3333333333333335
46,2019,롯데,8.75,24.25,16.75,0.14975,6.5,0.5
47,2019,삼성,12.0,46.0,27.75,0.2185,13.5,1.25
48,2019,키움,31.0,82.66666666666667,62.333333333333336,0.26199999999999996,33.0,0.6666666666666666
49,2019,한화,18.666666666666668,60.0,46.0,0.24666666666666667,14.333333333333334,1.3333333333333333
50,2020,KIA,9.333333333333334,33.0,19.666666666666668,0.2843333333333333,10.333333333333334,0.0
51,2020,KT,7.333333333333333,32.333333333333336,22.333333333333332,0.287,16.0,1.0
52,2020,LG,9.666666666666666,35.333333333333336,23.333333333333332,0.24633333333333338,17.0,0.6666666666666666
53,2020,NC,14.333333333333334,42.666666666666664,26.0,0.3633333333333333,20.0,1.3333333333333333
54,2020,SK,2.75,15.75,11.0,0.1795,5.25,0.5
55,2020,두산,10.0,30.333333333333332,22.333333333333332,0.21433333333333335,12.333333333333334,1.6666666666666667
56,2020,롯데,6.666666666666667,17.666666666666668,14.666666666666666,0.20733333333333334,6.0,0.3333333333333333
57,2020,삼성,10.0,31.666666666666668,19.666666666666668,0.23366666666666666,9.666666666666666,0.0
58,2020,키움,15.333333333333334,54.666666666666664,35.666666666666664,0.2596666666666667,21.666666666666668,1.0
59,2020,한화,6.666666666666667,26.333333333333332,18.333333333333332,0.207,7.0,0.0
